date, pm25, pm10, o3, no2, so2, co
2018/7/5, 132, 128, 22, 12, 6, 9
2018/7/6, 161, 110, 27, 12, 6, 8
2018/7/7, 151, 113, 38, 11, 6, 9
2018/7/8, 154, 106, 36, 10, 6, 9
2018/7/9, 154, 88, 28, 9, 6, 9
2018/7/10, 115, 74, 12, 10, 6, 8
2018/7/11, 106, 96, 32, 12, 6, 9
2018/7/12, 125, 71, 7, 8, 8, 8
2018/7/13, 86, 56, 16, 9, 7, 8
2018/7/14, 84, 63, 60, 8, 6, 8
2018/7/15, 106, 77, 56, 9, 7, 16
2018/7/16, 120, 63, 101, 8, 7, 14
2018/7/17, 80, 73, 37, 8, 5, 13
2018/7/18, 96, 64, 19, 7, 5, 3
2018/7/19, 84, 71, 8, 11, 5, 9
2018/7/20, 120, 89, 68, 10, 6, 7
2018/7/21, 140, 54, 36, 9, 4, 6
2018/7/22, 75, 74, 40, 8, 5, 6
2018/7/23, 100, 72, 36, 8, 5, 6
2018/7/24, 109, 62, 11, 10, 5, 8
2018/7/25, 84, 57, 20, 8, 5, 4
2018/7/26, 72, 59, 37, 8, 4, 
2018/7/27, 96, 66, 9, 7, 4, 3
2018/7/28, 99, 92, 9, 9, 5, 
2018/7/29, 136, 94, 13, 8, 4, 
2018/7/30, 110, 112, 10, 10, 4, 
2018/7/31, 121, 131, 11, 9, 4, 
2018/8/1, 128, 167, 11, 8, 4, 
2018/8/2, 142, 172, 10, 8, 5, 
2018/8/3, 146, 157, 15, 9, 4, 
2018/8/4, 135, 156, 8, 8, 4, 
2018/8/5, 136, 81, 8, 6, 4, 
2018/8/6, 135, 70, 42, 7, 5, 5
2018/8/7, 118, 59, 43, 7, 4, 12
2018/8/8, 83, 64, 53, 8, 5, 4
2018/8/9, 91, 76, 23, 14, 5, 7
2018/8/10, 121, 73, 7, 10, 4, 5
2018/8/11, 86, 73, 7, 10, 5, 8
2018/8/12, 84, 113, 28, 9, 5, 9
2018/8/13, 99, 213, 12, 10, 5, 9
2018/8/14, 130, 128, 16, 8, 4, 9
2018/8/15, 106, 110, 92, 10, 6, 11
2018/8/16, 104, 66, 29, 8, 5, 8
2018/8/17, 88, 64, 54, 9, 7, 10
2018/8/18, 110, 78, 29, 14, 6, 12
2018/8/19, 131, 90, 44, 13, 5, 11
2018/8/20, 137, 65, 62, 9, 6, 9
2018/8/21, 86, 62, 63, 8, 5, 8
2018/8/22, 85, 66, 19, 7, 5, 8
2018/8/23, 82, 71, 7, 9, 5, 9
2018/8/24, 77, 72, 5, 9, 5, 8
2018/8/25, 67, 60, 6, 7, 5, 7
2018/8/26, 67, 56, 12, 7, 5, 8
2018/8/27, 56, 63, 15, 9, 5, 9
2018/8/28, 79, 59, 75, 9, 6, 9
2018/8/29, 93, 65, 19, 11, 5, 10
2018/8/30, 104, 95, 12, 9, 5, 9
2018/8/31, 113, 84, 2, 11, 5, 12
2018/9/1, 130, 88, 4, 10, 4, 9
2018/9/2, 148, 63, 38, 12, 5, 13
2018/9/3, 103, 77, 8, 14, 4, 14
2018/9/4, 142, 76, 6, 12, 5, 11
2018/9/5, 119, 93, 8, 10, 4, 12
2018/9/6, 130, 89, 24, 16, 5, 13
2018/9/7, 118, 62, 7, 9, 5, 9
2018/9/8, 88, 54, 115, 7, 9, 7
2018/9/9, 78, 65, 19, 10, 7, 9
2018/9/10, 119, 59, 10, 10, 5, 9
2018/9/11, 96, 75, 5, 9, 5, 8
2018/9/12, 90, 84, 7, 9, 5, 8
2018/9/13, 79, 75, 8, 10, 5, 8
2018/9/14, 94, 87, 9, 10, 6, 8
2018/9/15, 107, 94, 8, 9, 7, 8
2018/9/16, 132, 105, 15, 10, 6, 8
2018/9/17, 151, 105, 17, 10, 6, 9
2018/9/18, 143, 108, 20, 13, 6, 9
2018/9/19, 135, 121, 25, 15, 7, 10
2018/9/20, 132, 83, 42, 11, 10, 9
2018/9/21, 93, 60, 44, 9, 8, 9
2018/9/22, 67, 59, 90, 8, 9, 6
2018/9/23, 75, 52, 2, 10, 5, 9
2018/9/24, 67, 62, 4, 9, 5, 9
2018/9/25, 69, 90, 8, 13, 5, 15
2018/9/26, 113, 112, 14, 13, 6, 14
2018/9/27, 163, 119, 25, 15, 6, 10
2018/9/28, 166, 135, 29, 16, 10, 10
2018/9/29, 163, 101, 17, 12, 7, 24
2018/9/30, 148, 126, 23, 17, 9, 21
2018/4/1, 159, 160, 75, 10, 8, 11
2018/4/2, 179, 171, 61, 10, 9, 13
2018/4/3, 183, 205, 46, 13, 8, 14
2018/4/4, 185, 231, 37, , 5, 15
2018/4/5, 231, 206, 48, 7, 6, 11
2018/4/6, 161, 100, 43, 6, 5, 9
2018/4/7, 126, 102, 33, 7, 6, 9
2018/4/8, 157, 88, 25, 6, 4, 12
2018/4/9, 112, 146, 33, 8, 10, 14
2018/4/10, 189, , , , , 
2018/4/13, 156, , , , , 
2018/4/16, 173, 140, 45, 8, 5, 9
2018/4/17, 153, 144, 37, 7, 5, 5
2018/4/18, 153, 161, 53, 9, 6, 9
2018/4/19, 172, 281, 30, 8, 5, 6
2018/4/20, 161, 426, 44, 6, 5, 6
2018/4/21, 164, 146, 38, 7, 6, 6
2018/4/22, 131, 133, 48, 8, 4, 10
2018/4/23, 124, 181, 68, 10, 6, 12
2018/4/24, 181, 190, 70, 11, 7, 22
2018/4/25, 176, 307, 98, 13, 7, 16
2018/4/26, 213, 217, 63, 9, 8, 10
2018/4/27, 176, 195, 77, 8, 5, 10
2018/4/28, 163, 161, 96, 8, 7, 12
2018/4/29, 170, 122, 86, 9, 7, 12
2018/4/30, 157, 102, 39, 6, 4, 10
2018/5/1, 142, 141, 40, 6, 3, 10
2018/5/2, 139, 89, 24, 7, 3, 10
2018/5/3, 117, 78, 45, 6, 3, 10
2018/5/4, 115, 101, 89, 8, 4, 11
2018/5/5, 149, 184, 56, 11, 7, 16
2018/5/6, 185, 210, 71, 11, 8, 17
2018/5/7, 221, 298, 43, 7, 4, 8
2018/5/8, 144, 110, 51, 9, 5, 10
2018/5/9, 136, 116, 80, 10, 3, 11
2018/5/10, 161, 182, 67, 11, 4, 9
2018/5/11, 186, 246, 76, 13, 8, 12
2018/5/12, 208, 147, 51, 5, 4, 5
2018/5/13, 147, 92, 58, 7, 5, 4
2018/5/14, 104, 123, 70, 6, 5, 6
2018/5/15, 145, 186, 56, 8, 4, 6
2018/5/16, 157, 229, 69, 10, 6, 5
2018/5/17, 180, 131, 55, 5, 3, 3
2018/5/18, 165, 208, 82, 20, 15, 12
2018/5/19, 183, 183, 2, 23, 11, 16
2018/5/20, 174, 174, 28, 22, 11, 5
2018/5/21, 155, 159, 54, 24, 17, 7
2018/5/22, 168, , , , , 
2018/5/25, 180, 189, 102, 30, 13, 
2018/5/26, 166, 224, 97, 28, 12, 
2018/5/27, 167, 202, 79, 26, 18, 25
2018/5/28, 190, 232, 94, 25, 9, 28
2018/5/29, 172, 182, 59, 13, 7, 3
2018/5/30, 132, 124, 65, 13, 8, 8
2018/5/31, 152, 114, 72, 10, 9, 8
2018/6/1, 145, , , , , 
2018/6/3, 127, 84, 85, 8, 7, 6
2018/6/4, 137, 92, 38, 10, 12, 2
2018/6/5, 130, 142, 64, 10, 8, 8
2018/6/6, 132, 111, 92, 12, 11, 10
2018/6/7, 154, 104, 56, 10, 8, 21
2018/6/8, 150, 116, 31, 10, 4, 14
2018/6/9, 124, 80, 46, 15, 6, 16
2018/6/10, 156, 75, 49, 14, 5, 14
2018/6/11, 152, 211, 27, 15, 4, 9
2018/6/12, 191, 419, 20, 10, 3, 13
2018/6/13, 262, 731, 19, 8, 4, 18
2018/6/14, 266, 253, 16, 11, 6, 10
2018/6/15, 178, 141, 85, 9, 6, 7
2018/6/16, 186, 63, 28, 8, 4, 8
2018/6/17, 152, 74, 27, 11, 7, 8
2018/6/18, 155, 96, 43, 10, 6, 5
2018/6/19, 125, 109, 89, 12, 7, 10
2018/6/20, 153, 102, 65, 14, 7, 11
2018/6/21, 161, 83, 115, 20, 12, 13
2018/6/22, 184, 70, 64, 20, 8, 11
2018/6/23, 164, 63, 52, 15, 11, 9
2018/6/24, 150, 75, 35, 14, 6, 9
2018/6/25, 149, 55, 23, 12, 5, 7
2018/6/26, 123, 59, 26, 12, 4, 9
2018/6/27, 105, 44, 68, 11, 4, 7
2018/6/28, 91, 64, 49, 10, 6, 7
2018/6/29, 87, 60, 58, 10, 6, 8
2018/6/30, 103, 53, 6, 12, 4, 9
2018/1/20, 305, , , , , 
2018/1/23, 252, 141, 7, 8, 4, 8
2018/1/24, 232, 157, 5, 9, 4, 8
2018/1/25, 248, 160, 4, 7, 3, 7
2018/1/26, 246, 231, 9, 7, 3, 11
2018/1/27, 275, 260, 8, 8, 4, 10
2018/1/28, 290, 286, 6, 11, 5, 11
2018/1/29, 289, 198, 13, 8, 5, 7
2018/1/30, 235, 178, 12, 8, 5, 8
2018/1/31, 227, 263, 22, 10, 7, 10
2018/2/1, 284, 168, 25, 8, 6, 7
2018/2/2, 200, 149, 34, 8, 7, 6
2018/2/3, 179, 163, 34, 9, 6, 7
2018/2/4, 207, 196, 29, 12, 7, 7
2018/2/5, 229, 173, 28, 10, 6, 6
2018/2/6, 203, 176, 35, 9, 6, 8
2018/2/7, 199, 284, 29, 10, 6, 14
2018/2/8, 283, 233, 35, 11, 7, 9
2018/2/9, 258, 373, 31, 10, 7, 22
2018/2/10, 298, 227, 36, 9, 7, 8
2018/2/11, 230, 105, 27, 5, 4, 4
2018/2/12, 158, 131, 26, 8, 5, 7
2018/2/13, 205, 108, 24, 7, 3, 6
2018/2/14, 155, 123, 14, 8, 4, 7
2018/2/15, 190, 150, 35, 10, 4, 8
2018/2/16, 198, 164, 30, 11, 4, 9
2018/2/17, 210, 168, 28, 11, 4, 10
2018/2/18, 211, 314, 42, 13, 5, 15
2018/2/19, 296, 230, 51, 12, 4, 13
2018/2/20, 239, 292, 51, 15, 6, 17
2018/2/21, 256, 232, 33, 15, 6, 13
2018/2/22, 257, 316, 1, 11, 5, 19
2018/2/23, 362, 291, 13, 17, 8, 16
2018/2/24, 215, 184, 21, 9, 5, 9
2018/2/25, 200, 113, 23, 7, 4, 7
2018/2/26, 149, 118, 28, 9, 4, 8
2018/2/27, 170, 165, 10, 11, 5, 12
2018/2/28, 203, 153, 26, 10, 4, 10
2018/3/1, 182, 217, 19, 10, 4, 17
2018/3/2, 266, 109, 20, 9, 4, 6
2018/3/3, 170, 143, 22, 9, 4, 
2018/3/4, 184, 105, 29, 8, 4, 
2018/3/5, 152, 113, 26, 8, 3, 9
2018/3/6, 151, 120, 23, 9, 4, 7
2018/3/7, 176, 241, 48, 12, 6, 6
2018/3/8, 255, 124, 40, 8, 4, 7
2018/3/9, 157, 109, 29, 6, 4, 6
2018/3/10, 123, 111, 29, 8, 4, 9
2018/3/11, 145, 140, 36, 8, 5, 8
2018/3/12, 189, 181, 23, 9, 5, 18
2018/3/13, 137, 255, 62, 9, 7, 14
2018/3/14, 211, 223, 21, 9, 8, 12
2018/3/15, 190, 188, 29, 10, 6, 11
2018/3/16, 230, 119, 15, 9, 5, 9
2018/3/17, 180, , , , , 
2018/3/19, 145, 155, 48, 13, 6, 14
2018/3/20, 198, 187, 34, 12, 8, 15
2018/3/21, 238, 113, 33, 9, 5, 10
2018/3/22, 180, 80, 31, 8, 4, 8
2018/3/23, 143, 103, 35, 8, 5, 9
2018/3/24, 156, 119, 33, 8, 4, 10
2018/3/25, 158, 132, 35, 9, 4, 10
2018/3/26, 166, 201, 43, 11, 5, 15
2018/3/27, 188, 205, 38, 13, 5, 13
2018/3/28, 166, 143, 39, 8, 4, 11
2018/3/29, 154, 150, 38, 10, 5, 11
2018/3/30, 164, 210, 48, 9, 6, 12
2018/3/31, 185, 146, 42, 8, 4, 11
2020/4/7, , 58, 34, 8, 7, 11
2019/12/31, , 437, 21, 7, 10, 34
2019/7/21, , 78, 20, 7, 6, 11
2019/5/5, , 213, 74, 28, 11, 16
2018/12/31, , 419, 20, 28, 7, 
2018/4/12, , 92, 48, 5, 4, 5
2018/4/14, , 140, , 9, , 
2018/4/15, , 173, 18, 10, 4, 10
2018/5/24, , 240, 2, 51, 23, 
2018/6/2, , 78, 88, 10, 10, 5
2018/1/19, , 250, , , , 
2018/1/22, , 172, , , , 
2018/3/18, , 108, 40, 11, 5, 9
